,Counter,BBC Compound,BBC Positive,BBC Neutral,BBC Negative,BBC Text,BBC Date/Time,CBS Compound,CBS Positive,CBS Neutral,CBS Negative,CBS Text,CBS Date/Time,CNN Compound,CNN Positive,CNN Neutral,CNN Negative,CNN Text,CNN Date/Time,FOX Compound,FOX Positive,FOX Neutral,FOX Negative,FOX Text,FOX Date/Time,NYT Compound,NYT Positive,NYT Neutral,NYT Negative,NYT Text,NYT Date/Time
10,11,0.0,0.0,1.0,0.0,RT @BBCJonSopel: More than a Stormy in a tea cup - my blog on the #StormyDanielsInterview on #60 minutes  https://t.co/xGroTNbBCH,2018-03-26 18:46:26+00:00,0.5994,0.214,0.786,0.0,"Linda Brown, the central figure of landmark Supreme Court case Brown v. Board of Education that declared school seg… https://t.co/jgY0S1QIGq",2018-03-26 22:10:01+00:00,0.2263,0.112,0.888,0.0,"Netflix has its eye on another season of ""Queer Eye for the Straight Guy"" https://t.co/cziEB1gMeG https://t.co/UA5gAd6tyv",2018-03-26 23:05:01+00:00,0.0,0.0,1.0,0.0,Cat returns home two days after owners bury its 'remains' https://t.co/5aYPrD5J0y,2018-03-26 22:26:04+00:00,-0.3818,0.0,0.874,0.126,One NYT reader's reaction to President Trump expelling 60 Russians and closing a consulate in response to the poiso… https://t.co/LQXzs3DbW7,2018-03-26 21:17:06+00:00
11,12,-0.4588,0.0,0.87,0.13,"RT @BBCJamesCook: The White House says the president doesn't believe that Stormy Daniels was threatened. Asked why not, his spokesman repli…",2018-03-26 18:29:13+00:00,0.0,0.0,1.0,0.0,Facebook stock sinks on Monday after the Federal Trade Commission announced it was investigating the company's data… https://t.co/oqZ2gtN3NS,2018-03-26 21:50:01+00:00,-0.9062,0.0,0.383,0.617,"""The Terror"" finds icy horror in doomed voyage https://t.co/7AhoP75z49 https://t.co/JOO4f5SDAU",2018-03-26 23:00:28+00:00,-0.4019,0.103,0.703,0.195,"Former NFL cheerleader claims she was fired over Instagram picture, report says (via @RyanGaydos) https://t.co/ZxCdXpS6ZF",2018-03-26 22:11:00+00:00,0.0,0.0,1.0,0.0,"RT @poniewozik: The new Roseanne has its limits, but it's a revival with more reason for existing than ""Eh, why not?"" https://t.co/jKTC30dG…",2018-03-26 21:00:13+00:00
12,13,0.0772,0.223,0.579,0.198,Kemerovo mall fire: How party turned into nightmare https://t.co/A4fz582Aau,2018-03-26 17:44:33+00:00,-0.7003,0.0,0.707,0.293,"Zeke Upshaw, a 26-year-old basketball player with the NBA's G League, has died after collapsing during a game.… https://t.co/59osQaJIqz",2018-03-26 21:30:40+00:00,0.0,0.0,1.0,0.0,"Do you have a right to know who's watching you on the internet, and how? This privacy activist is on a mission to g… https://t.co/8jfIHVbau2",2018-03-26 22:55:04+00:00,-0.5267,0.0,0.805,0.195,"Orlando nightclub shooter's father, an FBI informant, brushed off son's terror comments, agent says https://t.co/m1HPaDrAtL",2018-03-26 22:02:00+00:00,-0.34,0.0,0.902,0.098,"RT @NYTScience: Sometime in the next week, a 9.4-ton Chinese space station is expected to come hurtling back to earth. But you probably hav…",2018-03-26 20:50:05+00:00
13,14,-0.6908,0.0,0.63,0.37,"Paris murder of woman, 85, investigated as 'anti-Semitic' https://t.co/nWaZHYUKM9",2018-03-26 17:28:32+00:00,-0.802,0.0,0.699,0.301,"Gas leak in water heater is suspected in death of an Iowa couple and their two children last week, Mexican prosecut… https://t.co/v4zG3ZAv7k",2018-03-26 21:10:01+00:00,0.0,0.0,1.0,0.0,Mystery train carries rumors about a Kim Jong Un visit to China https://t.co/LzOjWoxf0r https://t.co/afC1hRZxie,2018-03-26 22:45:07+00:00,0.771,0.358,0.642,0.0,OPINION: Reagan was the 'Great Communicator' but #Trump may be a more powerful one  https://t.co/97xBRoVcMz,2018-03-26 22:00:01+00:00,-0.8225,0.0,0.636,0.364,A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally trippi… https://t.co/Y33509wC43,2018-03-26 20:41:03+00:00
14,15,-0.4404,0.0,0.633,0.367,Rapper attacks 'racist' Heineken ad https://t.co/p9nCL3qLbm,2018-03-26 17:28:32+00:00,0.0,0.0,1.0,0.0,"""My grandson was 23 years old,"" Stephon Clark's grandmother says tearfully during Sacramento news conference. ""And… https://t.co/GlDi4pVkZ5",2018-03-26 20:50:02+00:00,0.4767,0.134,0.866,0.0,"President Trump's approval rating rose to 42% in a new CNN poll, its highest level since the 100-day mark of Trump'… https://t.co/jAaIkC2jnz",2018-03-26 22:41:27+00:00,-0.8442,0.063,0.531,0.406,Ohio Gov. @JohnKasich commutes death sentence of man who killed woman during robbery https://t.co/bF1ezbBaTB,2018-03-26 21:55:00+00:00,0.0,0.0,1.0,0.0,The lawyer for the Pulse gunman’s widow wants the case against her thrown out after it was revealed that the gunman… https://t.co/ddOF0vInOO,2018-03-26 20:30:05+00:00
15,16,-0.2778,0.19,0.535,0.275,"Fired Vancouver waiter: I'm not rude, just French https://t.co/8zLfFKZdp8",2018-03-26 16:40:24+00:00,0.4215,0.123,0.877,0.0,Exonerated man will return to his old job as a White Sox groundskeeper after spending more than 20 years in prison… https://t.co/feQjOhqZye,2018-03-26 20:30:01+00:00,0.4939,0.211,0.789,0.0,Harry Potter inspired the Parkland generation | By Rachel Sklar via @CNNOpinion https://t.co/ZUO9Nkl3Wu https://t.co/7bWW4yIncy,2018-03-26 22:40:57+00:00,0.0,0.0,1.0,0.0,"Stormy Daniels files defamation suit against Trump attorney Michael Cohen - via @brookefoxnews 
https://t.co/BzkxtA06fu",2018-03-26 21:53:20+00:00,0.0,0.0,1.0,0.0,"The “60 Minutes” interview of Stormy Daniels drew 22 million viewers, more than this year’s Grammys (19.8 million)… https://t.co/eaq4o6bsAY",2018-03-26 20:20:05+00:00
16,17,0.0,0.0,1.0,0.0,RT @BBCSport: An Icelandic cartoonist can't sell T-shirts featuring the chant made famous by football fans because the word has been tradem…,2018-03-26 16:35:56+00:00,-0.0772,0.09,0.807,0.103,"During speech at predominantly black New York City church, Gov. Andrew Cuomo jokes that Jews lack rhythm when danci… https://t.co/nOJkkNrjVK",2018-03-26 20:10:01+00:00,0.0,0.0,1.0,0.0,"Cambridge Analytica sent non-US citizens to work on American campaigns during the 2014 midterm election cycle, a fo… https://t.co/SUkg3i2FWc",2018-03-26 22:32:24+00:00,0.4323,0.237,0.651,0.113,.@kimguilfoyle on President #Trump expelling dozens of Russian diplomats: “It bodes very well for United States nat… https://t.co/O9WeVfOnRC,2018-03-26 21:52:45+00:00,0.5267,0.207,0.793,0.0,"Review: ""Angels in America,"" starring Andrew Garfield and Nathan Lane, is ""flat-out fabulous"" https://t.co/QNh39X6QwQ",2018-03-26 20:10:03+00:00
17,18,0.0,0.0,1.0,0.0,Rhino census begins in India's Kaziranga National Park https://t.co/mLmy1vql0u,2018-03-26 15:38:13+00:00,-0.1779,0.088,0.793,0.119,"NEW: Dow Jones up nearly 700 points at closing bell after reports of easing trade tensions between U.S., China… https://t.co/sA8LazfnJM",2018-03-26 20:04:18+00:00,0.5994,0.189,0.811,0.0,"RT @CNNMoney: ""It's easy to take for granted all of these gifts Mother Nature gives us."" Director Darren Aronofsky and producer Ari Handel…",2018-03-26 22:31:16+00:00,-0.3818,0.0,0.86,0.14,.@TheJuanWilliams on President #Trump expelling dozens of Russian diplomats: “I think that people who were critical… https://t.co/5h3CZkQs3j,2018-03-26 21:44:29+00:00,0.0,0.0,1.0,0.0,"RT @nytimesarts: The diverse and strongly-reviewed ""One Day at a Time"" has been renewed for a third season on Netflix https://t.co/A9Rjr0qd…",2018-03-26 19:50:01+00:00
18,19,0.0,0.0,1.0,0.0,Facebook faces Federal Trade Commission privacy inquiry https://t.co/WUM4Xxo4VR,2018-03-26 15:38:13+00:00,-0.4215,0.105,0.714,0.181,"Killer Mike apologizes after an interview with NRATV was published online, saying the video was misused against the… https://t.co/EuedU0qTkw",2018-03-26 19:50:01+00:00,-0.296,0.0,0.845,0.155,"Florida Gov. Rick Scott teases a ""big announcement"" amid Florida Senate speculation https://t.co/fkk3XdKrWa https://t.co/1gb5TKx6qT",2018-03-26 22:30:12+00:00,-0.6808,0.0,0.763,0.237,.@JesseBWatters: “The guy had a rifle because the Bill of Rights said an 18-year-old with no criminal record can ha… https://t.co/MfcOw5CC3y,2018-03-26 21:31:45+00:00,0.5423,0.286,0.653,0.06,New Orleans Saints cheerleaders have to leave a restaurant if a player comes in. A cheerleader is challenging such… https://t.co/PUJaP3jtoZ,2018-03-26 19:40:04+00:00
19,20,-0.7184,0.0,0.6,0.4,José Filomeno dos Santos named suspect in $500m fraud case https://t.co/vSmAhmzrmT,2018-03-26 15:21:15+00:00,-0.25,0.0,0.9,0.1,"After President Trump expelled dozens of Russian operatives on Monday, ""the ball is in [Russia's] court,"" WH deputy… https://t.co/1zuE3V7q2T",2018-03-26 19:35:01+00:00,-0.2617,0.0,0.898,0.102,"The US punishes Russia, but Trump hedges bets on Putin | Analysis by CNN's Stephen Collinson and Zachary Cohen… https://t.co/qKWmhc8u08",2018-03-26 22:22:31+00:00,-0.4939,0.0,0.802,0.198,OPINION: Did Facebook’s ‘favors’ for the Obama campaign constitute a violation of federal law?  https://t.co/guRc6TqvVn,2018-03-26 21:26:51+00:00,0.0,0.0,1.0,0.0,RT @poniewozik: Stormy Daniels spanked Donald Trump with a network newsmagazine. https://t.co/prQASw7buB,2018-03-26 19:30:05+00:00
20,21,-0.765,0.0,0.577,0.423,Cold War: How do Russia tensions compare to Soviet era? https://t.co/baUYyv2YvF,2018-03-26 23:08:48+00:00,0.3612,0.106,0.894,0.0,"""The sexual allegations against Roy Moore came out, and we just had the #MeToo movement, and it just seemed like th… https://t.co/5s0wJbS7I5",2018-03-27 00:08:10+00:00,0.0,0.0,1.0,0.0,Starting now: Anderson Cooper's interview with Stormy Daniels replays now on CNN. https://t.co/UYpqI3esEb https://t.co/87zXwajZTN,2018-03-27 00:05:30+00:00,-0.6808,0.0,0.763,0.237,.@JesseBWatters: “The guy had a rifle because the Bill of Rights said an 18-year-old with no criminal record can ha… https://t.co/fkSX5vjUNZ,2018-03-26 23:58:48+00:00,-0.5574,0.0,0.735,0.265,RT @maggieNYT: NEWS: Trump Talks of Bringing Back Rob Porter  https://t.co/1BleAd2VZN,2018-03-27 00:02:02+00:00
21,22,0.0,0.0,1.0,0.0,"Actor Anthony Wong finds family who never knew him, after BBC report https://t.co/74P0yJj51s",2018-03-26 23:08:47+00:00,0.5801,0.185,0.815,0.0,"""In Alabama we're taught that women are to be quiet, not cause trouble. But it seems like the climate has changed h… https://t.co/V594CIoXLX",2018-03-26 23:59:01+00:00,0.25,0.172,0.707,0.121,You'll know the gun control movement is winning when... | Analysis by CNN's Gregory Krieg https://t.co/iT8rw9CkXI https://t.co/bOlllLHuu9,2018-03-27 00:05:09+00:00,0.2023,0.096,0.904,0.0,.@KyleKashuv: “Gun control won’t solve this issue. We’ve seen that we have to hold our government accountable.”… https://t.co/aB0kWxW6nj,2018-03-26 23:47:52+00:00,0.5106,0.355,0.645,0.0,"Villanova has a beloved team chaplain, too https://t.co/cMje3sdrCj",2018-03-26 23:47:06+00:00
22,23,-0.296,0.0,0.804,0.196,James Packer: Resignation puts focus on 'high-flier' mental health https://t.co/5hytkACnVu,2018-03-26 22:56:56+00:00,0.0,0.0,1.0,0.0,Snow in parts of Europe turned orange due to a sandstorm thousands of miles away in the Sahara Desert of Northern A… https://t.co/BdHPSSUhF1,2018-03-26 23:58:00+00:00,0.0772,0.238,0.544,0.218,Austin seeks peace amid the grief https://t.co/ceCQor8DX3 | via @CNNOpinion https://t.co/aK3Q1IB0o5,2018-03-27 00:00:19+00:00,-0.4019,0.0,0.881,0.119,.@dbongino: “The problem with this debate is you have people who live in these cultural bubbles who talk about gun… https://t.co/MKZeoA4tH5,2018-03-26 23:41:55+00:00,-0.8957,0.0,0.565,0.435,"RT @nytimesworld: She escaped a 1942 roundup of Jews in Paris, and died in a 2018 hate crime https://t.co/bwlI9EawZ1",2018-03-26 23:32:04+00:00
23,24,-0.5423,0.0,0.72,0.28,Brazil's female sports reporters call time on sexual harassment https://t.co/AgJGTDXOiT,2018-03-26 22:49:20+00:00,0.8807,0.375,0.625,0.0,"""Mr. Cohen paid the $130,000, but the reason is to protect business, protect reputation and to protect family."" Mic… https://t.co/fxD0YOFmYm",2018-03-26 23:32:30+00:00,0.765,0.258,0.742,0.0,Did the Trump campaign and John Bolton's super PAC get help from overseas? | By Fred Wertheimer and Norman Eisen fo… https://t.co/dTabQC4fK6,2018-03-26 23:55:17+00:00,-0.5267,0.0,0.794,0.206,".@Judgenap on former hostage accusing FBI of misleading his family: “The FBI, in this particular case, couldn’t car… https://t.co/pceGYbiwEc",2018-03-26 23:24:30+00:00,-0.5574,0.0,0.833,0.167,Linda Brown has died. The Kansas schoolgirl came to symbolize the transformative Brown v. Board of Education desegr… https://t.co/a0bJJfESbP,2018-03-26 23:17:04+00:00
24,25,0.0,0.0,1.0,0.0,Yuri Gagarin: First man in space https://t.co/TgmvpPgK1N,2018-03-26 22:39:35+00:00,0.0,0.0,1.0,0.0,"Loyola's run to the Final Four has been almost as improbable as the star turn of the team's incandescent chaplain,… https://t.co/49LnIJXe1M",2018-03-26 23:09:34+00:00,-0.3818,0.0,0.809,0.191,These are all the countries that are expelling Russian diplomats https://t.co/kDqWGm1Lnp https://t.co/JPKciaQwCQ,2018-03-26 23:48:48+00:00,-0.3182,0.122,0.699,0.179,Former Al Qaeda hostage in Syria alleges FBI sacrificed his safety to track terrorists. Catherine Herridge reports.… https://t.co/qtPbgkxurP,2018-03-26 23:17:19+00:00,0.0,0.0,1.0,0.0,Planning a trip to Memphis? Here's what you should bring. https://t.co/mXqFo0yzG6,2018-03-26 23:02:04+00:00
25,26,-0.2263,0.0,0.826,0.174,DR Congo massacre: 'My daughter was slashed with a machete' https://t.co/78bzi0x7qp,2018-03-26 21:30:28+00:00,-0.296,0.0,0.891,0.109,"A federal judge in Orlando, Florida, refused to declare a mistrial in the case of Pulse night club shooter's widow… https://t.co/HtbTue6fQP",2018-03-26 22:57:13+00:00,-0.8658,0.0,0.553,0.447,How the cricket cheating scandal in Australia harms the national psyche https://t.co/6E7MA3eiti | via @CNNOpinion https://t.co/cYJlFKlMMY,2018-03-26 23:45:04+00:00,-0.6486,0.0,0.719,0.281,"Linda Brown, center of Brown v. Board case, dead at 76 https://t.co/F5U0Bv2IgH",2018-03-26 23:09:14+00:00,0.0,0.0,1.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/FmmZKTkugK,2018-03-26 22:45:06+00:00
26,27,0.0,0.0,1.0,0.0,RT @danroan: Here’s Cricket Australia ball-tampering investigators Iain Roy &amp; Pat Howard arriving at team’s luxury Cape Town hotel where pl…,2018-03-26 20:30:10+00:00,-0.4019,0.0,0.802,0.198,"As many Americans struggle to pay rising health insurance premiums, a CBS News investigation uncovered a scheme tha… https://t.co/NPjbqpBfr4",2018-03-26 22:53:56+00:00,-0.5859,0.0,0.798,0.202,The bankruptcy of Remington marks a blow to the gun industry and the decline of one of America's oldest gun compani… https://t.co/G2PWuxAspF,2018-03-26 23:38:28+00:00,-0.3612,0.0,0.839,0.161,"BREAKING: Multiple suspicious packages containing explosive material sent to DC-area military installations, neutra… https://t.co/jkwoVZgdnX",2018-03-26 22:56:05+00:00,-0.1531,0.113,0.708,0.179,"“This is a deplorable way to treat a veteran who risked his life in combat for our nation,” Senator Tammy Duckworth… https://t.co/GNFXVeadzt",2018-03-26 22:32:03+00:00
27,28,-0.0191,0.0,0.946,0.054,"RT @BBCSport: 'It doesn't matter what they achieve in their careers, this Australia team will be remembered for cheating.' 👉 https://t.co/q…",2018-03-26 19:35:13+00:00,0.0,0.0,1.0,0.0,"A mystery train pulled into Beijing, fueling speculation that it might be carrying North Korean Leader Kim Jong Un.… https://t.co/HNorFwVCjL",2018-03-26 22:48:05+00:00,0.0,0.0,1.0,0.0,Iceland is bringing geothermal heating to China https://t.co/Wf4gihkyDN https://t.co/f0hoj5EIA0,2018-03-26 23:30:14+00:00,0.3818,0.157,0.843,0.0,".@MZHemingway: “Objectively speaking, [President Trump’s] been stronger than either of his two predecessors against… https://t.co/gRptNTfiHj",2018-03-26 22:50:01+00:00,0.4939,0.186,0.814,0.0,A sprawling exhibition in Amsterdam looks at how a fascination with Japan shaped van Gogh's work https://t.co/bdRjmcrJEl,2018-03-26 22:17:03+00:00
28,29,0.0,0.0,1.0,0.0,'North Korean train' in Beijing fuels rumours of Kim Jong-un visit https://t.co/iOWYdx3eTI,2018-03-26 18:51:12+00:00,-0.875,0.0,0.655,0.345,"""The purpose is to punish Russia for its alleged use of a chemical agent in a near fatal attack on an ex-Russian sp… https://t.co/qe7kDcZOnX",2018-03-26 22:45:21+00:00,0.0,0.0,1.0,0.0,Garry Shandling and Arthur Miller profiled in deeply personal HBO docs https://t.co/1X8tKxUvjh https://t.co/KMrwH3hLUS,2018-03-26 23:15:03+00:00,0.4939,0.151,0.849,0.0,John Sununu: “The president is…trying to reduce trade imbalance by a hundred billion dollars. If he succeeds in tha… https://t.co/9187qaBgvz,2018-03-26 22:42:00+00:00,0.6124,0.274,0.639,0.086,"RT @jeligon: .@es_snipes fought vigorously for black lives. What did the movement do to support her? Not enough, friends say. https://t.co/…",2018-03-26 21:47:02+00:00
29,30,-0.4215,0.0,0.763,0.237,Stormy Daniels: White House 'strongly' denies Trump's alleged affair https://t.co/zUuenyOO0v,2018-03-26 18:47:31+00:00,0.128,0.077,0.923,0.0,"In the wake of Stormy Daniels' @60Minutes interview, the legal documents are piling up. The documents include a cea… https://t.co/n5ECvYzH7j",2018-03-26 22:40:59+00:00,0.0,0.0,1.0,0.0,.@AriannaHuff tells @PoppyHarlowCNN we need to “disconnect in a connected world today” and why she wants to you to… https://t.co/Bwr5LYw2kh,2018-03-26 23:10:09+00:00,-0.4767,0.0,0.763,0.237,"Stoneman Douglas memorial site robbed of teddy bears, mementos; 2 arrested https://t.co/8w9BgNFxrw",2018-03-26 22:34:00+00:00,0.5859,0.211,0.789,0.0,Here's how to create your own support system when you don't have a spouse or kids to fall back on https://t.co/OtWwllbDnF,2018-03-26 21:32:07+00:00
